Unit,Variety,Treatment
101,Wife,0
102,Maverick,150
103,Wife,150
104,Wife,250
105,Maverick,50
106,Maverick,0
107,Maverick,250
110,Maverick,200
111,Wife,200
113,Maverick,100
117,Wife,50
118,Wife,100
203,Wife,150
205,Maverick,150
207,Wife,100
208,Wife,200
209,Maverick,250
211,Wife,250
212,Wife,0
214,Maverick,100
215,Maverick,50
216,Wife,50
218,Maverick,0
302,Maverick,150
303,Maverick,200
305,Wife,50
306,Wife,250
308,Wife,150
309,Maverick,0
310,Maverick,250
311,Wife,0
312,Maverick,50
315,Maverick,200
316,Wife,100
317,Maverick,100
318,Wife,200
401,Maverick,0
402,Wife,250
404,Wife,50
406,Maverick,200
410,Wife,150
412,Maverick,150
413,Maverick,100
414,Maverick,250
415,Maverick,50
416,Wife,200
417,Wife,100
418,Wife,0
