Date,Variety,Treatment,UnitID,CBC,CBCA,CBD,CBDA,CBDV,CBG,CBGA,CBL,CBN,8_THC,9_THC,THCA,THCV,TotalPotentialTHC,TotalPotentialCBD,TotalPotentialCBC,TotalPotentialCBG
8/26/2020,CBT,Control,11,0.330854667,0.068803,6.343883,2.042908333,BLOQ,0.17105,0.059433667,BLOQ,BLOQ,BLOQ,0.265408333,BLOQ,BLOQ,0.265408333,8.135513608,0.391194898,0.223173326
8/26/2020,CBT,Medium,12,0.130811,BLOQ,2.635655667,0.719207333,BLOQ,0.104556667,BLOQ,BLOQ,BLOQ,BLOQ,0.122464667,BLOQ,BLOQ,0.122464667,3.266400498,0.130811,0.104556667
8/26/2020,CBT,High,13,0.384080667,0.091207667,6.666400667,2.398139,BLOQ,0.129507667,0.051419667,BLOQ,BLOQ,BLOQ,0.332268,BLOQ,BLOQ,0.332268,8.76956857,0.46406979,0.174602714
8/26/2020,CBT,Low,14,0.29024,0.075554333,5.563696,2.245977667,BLOQ,0.126327,0.055615333,BLOQ,BLOQ,BLOQ,0.262038333,BLOQ,BLOQ,0.262038333,7.533418414,0.35650115,0.175101647
8/26/2020,CBT,Medium,15,0.24162,0.069399,4.166251667,1.606483,BLOQ,0.140546333,0.060488,BLOQ,BLOQ,BLOQ,0.175857667,BLOQ,BLOQ,0.175857667,5.575137258,0.302482923,0.193594309
8/26/2020,CBT,Control,16,0.354125333,BLOQ,6.976737667,1.307701,BLOQ,0.125618667,BLOQ,BLOQ,BLOQ,BLOQ,0.291908333,BLOQ,BLOQ,0.291908333,8.123591444,0.354125333,0.125618667
8/26/2020,CBT,High,21,0.354241667,0.056043667,6.736515,1.623439667,BLOQ,0.175606333,0.055893,BLOQ,BLOQ,BLOQ,0.303901333,BLOQ,BLOQ,0.303901333,8.160271588,0.403391962,0.224624494
8/26/2020,CBT,Low,22,0.541502333,0.117027667,8.758993,3.148667333,BLOQ,0.171075667,0.061366,BLOQ,BLOQ,BLOQ,0.453828667,BLOQ,BLOQ,0.453828667,11.52037425,0.644135597,0.224893649
8/26/2020,CBT,High,23,0.184952333,BLOQ,3.700092333,1.263936333,BLOQ,0.142153333,0.059492,BLOQ,BLOQ,BLOQ,0.160443,BLOQ,BLOQ,0.160443,4.808564498,0.184952333,0.194327817
8/26/2020,CBT,Control,24,0.463360333,0.081289,7.797337333,2.269692333,BLOQ,0.152433,0.051023333,BLOQ,BLOQ,BLOQ,0.359861667,BLOQ,BLOQ,0.359861667,9.78785751,0.534650786,0.197180463
8/26/2020,CBT,Low,25,0.087217333,BLOQ,1.796817333,0.462116667,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.084584333,BLOQ,BLOQ,0.084584333,2.20209365,0.087217333,0.05
8/26/2020,CBT,Medium,26,0.106626,BLOQ,2.069315667,0.993464,BLOQ,0.074223333,BLOQ,BLOQ,BLOQ,BLOQ,0.102452333,BLOQ,BLOQ,0.102452333,2.940583595,0.106626,0.074223333
8/26/2020,CBT,Medium,31,0.190334,BLOQ,3.744865667,0.936584,BLOQ,0.150687333,BLOQ,BLOQ,BLOQ,BLOQ,0.159488333,BLOQ,BLOQ,0.159488333,4.566249835,0.190334,0.150687333
8/26/2020,CBT,High,32,0.083084667,BLOQ,1.691611,0.443494,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.076811,BLOQ,BLOQ,0.076811,2.080555238,0.083084667,0.05
8/26/2020,CBT,Medium,33,0.080885667,BLOQ,1.685269333,0.434587333,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.076743,BLOQ,BLOQ,0.076743,2.066402425,0.080885667,0.05
8/26/2020,CBT,Low,34,0.266165667,0.053963333,4.777793667,1.402129,0.057341,0.24362,0.080110667,BLOQ,BLOQ,BLOQ,0.199327,BLOQ,BLOQ,0.199327,6.0074608,0.31349151,0.313877055
8/26/2020,CBT,Low,35,0.218027667,0.060281,4.273935333,1.704501667,BLOQ,0.209447333,0.079042333,BLOQ,BLOQ,BLOQ,0.192743,BLOQ,BLOQ,0.192743,5.768783295,0.270894104,0.27876746
8/26/2020,CBT,Control,36,0.122405667,BLOQ,2.549818667,0.753471333,BLOQ,0.066413667,BLOQ,BLOQ,BLOQ,BLOQ,0.124578667,BLOQ,BLOQ,0.124578667,3.210613026,0.122405667,0.066413667
8/26/2020,CBT,Low,41,0.071926333,BLOQ,1.541088,0.301062667,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.062611333,BLOQ,BLOQ,0.062611333,1.805119959,0.071926333,0.05
8/26/2020,CBT,High,42,0.382928667,0.080096667,6.969243333,2.37791,BLOQ,0.150389333,0.055180333,BLOQ,BLOQ,BLOQ,0.342449667,BLOQ,BLOQ,0.342449667,9.054670403,0.453173443,0.198782486
8/26/2020,CBT,Control,43,0.222245333,BLOQ,4.748610667,0.610285667,0.050769333,0.146432,BLOQ,BLOQ,BLOQ,BLOQ,0.224356333,BLOQ,BLOQ,0.224356333,5.283831196,0.222245333,0.146432
8/26/2020,CBT,High,44,0.271194667,0.074238,4.932267333,1.899938333,BLOQ,0.158692333,0.064324,BLOQ,BLOQ,BLOQ,0.225541333,BLOQ,BLOQ,0.225541333,6.598513252,0.336301393,0.215104481
8/26/2020,CBT,Medium,45,0.356067667,0.112139667,6.138899667,2.766451667,0.080342667,0.296134,0.147721,BLOQ,BLOQ,BLOQ,0.276973667,BLOQ,BLOQ,0.276973667,8.565077778,0.454414154,0.425685317
8/26/2020,CBT,Control,46,0.143998667,BLOQ,2.954923333,0.677091333,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.142708,BLOQ,BLOQ,0.142708,3.548732433,0.143998667,0.05
