Unit,Rep,Treatment,CanopyArea_cm2
11,1,Control,1077.76339
12,1,Medium,3747.006396
13,1,High,1586.292042
14,1,Low,1372.102277
15,2,Medium,1748.669622
16,2,Control,406.846496
21,2,High,3496.665308
22,2,Low,1003.113125
23,3,High,2064.050016
24,3,Control,453.8181426
25,3,Low,2758.429233
26,3,Medium,3678.106864
31,4,Medium,2828.120258
32,4,High,3267.447157
33,5,Medium,2812.049705
34,4,Low,1757.882588
35,5,Low,1444.560998
36,4,Control,1496.171346
41,6,Low,1976.380389
42,5,High,1561.45327
43,5,Control,204.1868144
44,6,High,2431.339287
45,6,Medium,1660.652431
46,6,Control,582.0247214
