Year,Month,Day,Unit,Rep,FreshWeight_g
2020,9,16,101,1,201.20
2020,9,16,101,2,177.00
2020,9,16,101,3,291.40
2020,9,16,101,4,
2020,9,16,101,5,341.00
2020,9,16,101,6,
2020,8,7,102,1,15.00
2020,8,7,102,2,43.00
2020,8,7,102,3,106.00
2020,8,7,102,4,9.00
2020,8,7,102,5,1.00
2020,8,7,102,6,
2020,9,16,103,1,2040.00
2020,9,16,103,2,1840.00
2020,9,16,103,3,1900.00
2020,9,16,103,4,2020.00
2020,9,16,103,5,2320.00
2020,9,16,103,6,2380.00
2020,8,7,104,1,81.00
2020,8,7,104,2,46.00
2020,8,7,104,3,80.00
2020,8,7,104,4,106.00
2020,8,7,104,5,10.00
2020,8,7,104,6,
2020,8,7,105,1,0.70
2020,8,7,105,2,0.94
2020,8,7,105,3,39.00
2020,8,7,105,4,7.80
2020,8,7,105,5,
2020,8,7,105,6,
2020,8,7,106,1,136.00
2020,8,7,106,2,213.00
2020,8,7,106,3,78.00
2020,8,7,106,4,25.00
2020,8,7,106,5,0.88
2020,8,7,106,6,0.80
2020,8,7,107,1,1.26
2020,8,7,107,2,18.44
2020,8,7,107,3,1.00
2020,8,7,107,4,1.37
2020,8,7,107,5,23.00
2020,8,7,107,6,
2020,9,16,108,1,2400.00
2020,9,16,108,2,1800.00
2020,9,16,108,3,1460.00
2020,9,16,108,4,1720.00
2020,9,16,108,5,1100.00
2020,9,16,108,6,1420.00
2020,8,7,109,1,118.00
2020,8,7,109,2,20.00
2020,8,7,109,3,94.00
2020,8,7,109,4,
2020,8,7,109,5,
2020,8,7,109,6,
2020,8,7,110,1,0.90
2020,8,7,110,2,11.50
2020,8,7,110,3,18.00
2020,8,7,110,4,34.00
2020,8,7,110,5,8.00
2020,8,7,110,6,0.80
2020,8,7,111,1,11.75
2020,8,7,111,2,7.43
2020,8,7,111,3,14.00
2020,8,7,111,4,0.73
2020,8,7,111,5,17.40
2020,8,7,111,6,
2020,8,7,112,1,49.00
2020,8,7,112,2,54.00
2020,8,7,112,3,25.00
2020,8,7,112,4,38.00
2020,8,7,112,5,90.00
2020,8,7,112,6,21.00
2020,8,7,113,1,15.00
2020,8,7,113,2,23.00
2020,8,7,113,3,28.00
2020,8,7,113,4,
2020,8,7,113,5,9.00
2020,8,7,113,6,17.00
2020,9,16,114,1,580.00
2020,9,16,114,2,900.00
2020,9,16,114,3,620.00
2020,9,16,114,4,800.00
2020,9,16,114,5,1000.00
2020,9,16,114,6,1140.00
2020,9,16,115,1,445.00
2020,9,16,115,2,414.00
2020,9,16,115,3,243.00
2020,9,16,115,4,601.00
2020,9,16,115,5,450.00
2020,9,16,115,6,492.00
2020,8,7,116,1,28.00
2020,8,7,116,2,79.00
2020,8,7,116,3,121.00
2020,8,7,116,4,409.00
2020,8,7,116,5,53.00
2020,8,7,116,6,4.00
2020,8,7,117,1,1.00
2020,8,7,117,2,22.00
2020,8,7,117,3,12.00
2020,8,7,117,4,1.40
2020,8,7,117,5,
2020,8,7,117,6,
2020,9,16,118,1,141.00
2020,9,16,118,2,
2020,9,16,118,3,50.00
2020,9,16,118,4,
2020,9,16,118,5,160.00
2020,9,16,118,6,153.00
2020,9,16,201,1,1460.00
2020,9,16,201,2,1740.00
2020,9,16,201,3,1500.00
2020,9,16,201,4,1340.00
2020,9,16,201,5,900.00
2020,9,16,201,6,
2020,8,7,202,1,66.00
2020,8,7,202,2,34.00
2020,8,7,202,3,55.00
2020,8,7,202,4,188.00
2020,8,7,202,5,195.00
2020,8,7,202,6,0.86
2020,9,16,203,1,192.00
2020,9,16,203,2,283.00
2020,9,16,203,3,241.00
2020,9,16,203,4,361.00
2020,9,16,203,5,380.00
2020,9,16,203,6,296.00
2020,8,7,204,1,91.00
2020,8,7,204,2,31.00
2020,8,7,204,3,50.00
2020,8,7,204,4,24.00
2020,8,7,204,5,2.00
2020,8,7,204,6,1.60
2020,8,7,205,1,136.00
2020,8,7,205,2,82.00
2020,8,7,205,3,97.00
2020,8,7,205,4,
2020,8,7,205,5,
2020,8,7,205,6,
2020,8,7,206,1,12.70
2020,8,7,206,2,12.40
2020,8,7,206,3,0.90
2020,8,7,206,4,5.80
2020,8,7,206,5,
2020,8,7,206,6,
2020,8,7,207,1,1.20
2020,8,7,207,2,2.20
2020,8,7,207,3,99.00
2020,8,7,207,4,147.00
2020,8,7,207,5,221.00
2020,8,7,207,6,
2020,8,7,208,1,63.00
2020,8,7,208,2,0.60
2020,8,7,208,3,55.00
2020,8,7,208,4,51.00
2020,8,7,208,5,5.10
2020,8,7,208,6,
2020,8,7,209,1,3.34
2020,8,7,209,2,33.00
2020,8,7,209,3,44.00
2020,8,7,209,4,23.00
2020,8,7,209,5,1.35
2020,8,7,209,6,1.17
2020,8,7,210,1,18.00
2020,8,7,210,2,38.00
2020,8,7,210,3,19.00
2020,8,7,210,4,24.00
2020,8,7,210,5,10.00
2020,8,7,210,6,29.00
2020,9,16,211,1,1800.00
2020,9,16,211,2,1620.00
2020,9,16,211,3,1820.00
2020,9,16,211,4,1640.00
2020,9,16,211,5,2240.00
2020,9,16,211,6,2500.00
2020,8,7,212,1,1.45
2020,8,7,212,2,71.00
2020,8,7,212,3,2.00
2020,8,7,212,4,19.00
2020,8,7,212,5,
2020,8,7,212,6,
2020,8,7,213,1,130.00
2020,8,7,213,2,85.00
2020,8,7,213,3,113.00
2020,8,7,213,4,
2020,8,7,213,5,
2020,8,7,213,6,
2020,9,16,214,1,909.00
2020,9,16,214,2,1006.00
2020,9,16,214,3,938.00
2020,9,16,214,4,802.00
2020,9,16,214,5,865.00
2020,9,16,214,6,668.00
2020,9,16,215,1,159.00
2020,9,16,215,2,107.00
2020,9,16,215,3,85.00
2020,9,16,215,4,223.00
2020,9,16,215,5,154.00
2020,9,16,215,6,132.00
2020,9,16,216,1,2700.00
2020,9,16,216,2,2140.00
2020,9,16,216,3,1860.00
2020,9,16,216,4,2540.00
2020,9,16,216,5,2400.00
2020,9,16,216,6,2780.00
2020,8,7,217,1,39.00
2020,8,7,217,2,21.00
2020,8,7,217,3,13.00
2020,8,7,217,4,
2020,8,7,217,5,
2020,8,7,217,6,
2020,8,7,218,1,19.00
2020,8,7,218,2,
2020,8,7,218,3,
2020,8,7,218,4,
2020,8,7,218,5,
2020,8,7,218,6,
2020,8,7,301,1,0.80
2020,8,7,301,2,2.90
2020,8,7,301,3,
2020,8,7,301,4,
2020,8,7,301,5,
2020,8,7,301,6,
2020,9,16,302,1,780.00
2020,9,16,302,2,780.00
2020,9,16,302,3,740.00
2020,9,16,302,4,860.00
2020,9,16,302,5,940.00
2020,9,16,302,6,900.00
2020,8,7,303,1,17.00
2020,8,7,303,2,47.00
2020,8,7,303,3,48.00
2020,8,7,303,4,41.00
2020,8,7,303,5,4.55
2020,8,7,303,6,
2020,8,7,304,1,0.80
2020,8,7,304,2,1.30
2020,8,7,304,3,72.00
2020,8,7,304,4,58.00
2020,8,7,304,5,72.00
2020,8,7,304,6,2.45
2020,9,16,305,1,115.00
2020,9,16,305,2,134.00
2020,9,16,305,3,210.00
2020,9,16,305,4,
2020,9,16,305,5,105.00
2020,9,16,305,6,110.00
2020,9,16,306,1,683.00
2020,9,16,306,2,762.00
2020,9,16,306,3,1575.00
2020,9,16,306,4,902.00
2020,9,16,306,5,1013.00
2020,9,16,306,6,1775.00
2020,8,7,307,1,3.30
2020,8,7,307,2,1.43
2020,8,7,307,3,42.00
2020,8,7,307,4,2.77
2020,8,7,307,5,1.56
2020,8,7,307,6,
2020,8,7,308,1,0.72
2020,8,7,308,2,2.00
2020,8,7,308,3,1.25
2020,8,7,308,4,0.94
2020,8,7,308,5,
2020,8,7,308,6,
2020,9,16,309,1,860.00
2020,9,16,309,2,840.00
2020,9,16,309,3,1200.00
2020,9,16,309,4,
2020,9,16,309,5,1300.00
2020,9,16,309,6,640.00
2020,8,7,310,1,18.00
2020,8,7,310,2,4.00
2020,8,7,310,3,31.00
2020,8,7,310,4,14.00
2020,8,7,310,5,36.00
2020,8,7,310,6,
2020,8,7,311,1,0.98
2020,8,7,311,2,54.00
2020,8,7,311,3,16.00
2020,8,7,311,4,
2020,8,7,311,5,
2020,8,7,311,6,
2020,8,7,312,1,0.90
2020,8,7,312,2,0.90
2020,8,7,312,3,12.43
2020,8,7,312,4,7.45
2020,8,7,312,5,72.00
2020,8,7,312,6,
2020,8,7,313,1,1.38
2020,8,7,313,2,57.00
2020,8,7,313,3,32.00
2020,8,7,313,4,225.00
2020,8,7,313,5,15.00
2020,8,7,313,6,
2020,8,7,314,1,34.00
2020,8,7,314,2,20.00
2020,8,7,314,3,60.00
2020,8,7,314,4,19.50
2020,8,7,314,5,16.00
2020,8,7,314,6,83.00
2020,9,16,315,1,820.00
2020,9,16,315,2,1120.00
2020,9,16,315,3,1100.00
2020,9,16,315,4,1240.00
2020,9,16,315,5,1500.00
2020,9,16,315,6,1480.00
2020,8,7,316,1,1.00
2020,8,7,316,2,51.00
2020,8,7,316,3,61.00
2020,8,7,316,4,1.00
2020,8,7,316,5,108.00
2020,8,7,316,6,7.00
2020,8,7,317,1,0.85
2020,8,7,317,2,4.00
2020,8,7,317,3,12.00
2020,8,7,317,4,3.00
2020,8,7,317,5,11.00
2020,8,7,317,6,12.00
2020,9,16,318,1,135.00
2020,9,16,318,2,110.00
2020,9,16,318,3,120.00
2020,9,16,318,4,
2020,9,16,318,5,
2020,9,16,318,6,20.00
2020,9,16,401,1,265.00
2020,9,16,401,2,320.00
2020,9,16,401,3,280.00
2020,9,16,401,4,162.00
2020,9,16,401,5,136.00
2020,9,16,401,6,
2020,9,16,402,1,613.00
2020,9,16,402,2,437.00
2020,9,16,402,3,608.00
2020,9,16,402,4,507.00
2020,9,16,402,5,737.00
2020,9,16,402,6,583.00
2020,8,7,403,1,0.83
2020,8,7,403,2,40.00
2020,8,7,403,3,27.00
2020,8,7,403,4,
2020,8,7,403,5,
2020,8,7,403,6,
2020,8,7,404,1,0.90
2020,8,7,404,2,2.00
2020,8,7,404,3,5.00
2020,8,7,404,4,5.00
2020,8,7,404,5,
2020,8,7,404,6,
2020,8,7,405,1,13.00
2020,8,7,405,2,11.00
2020,8,7,405,3,
2020,8,7,405,4,
2020,8,7,405,5,
2020,8,7,405,6,
2020,8,7,406,1,87.00
2020,8,7,406,2,11.00
2020,8,7,406,3,40.00
2020,8,7,406,4,17.00
2020,8,7,406,5,
2020,8,7,406,6,
2020,8,7,407,1,50.00
2020,8,7,407,2,3.00
2020,8,7,407,3,
2020,8,7,407,4,
2020,8,7,407,5,
2020,8,7,407,6,
2020,8,7,408,1,16.00
2020,8,7,408,2,55.00
2020,8,7,408,3,61.00
2020,8,7,408,4,14.00
2020,8,7,408,5,1.90
2020,8,7,408,6,2.90
2020,9,16,409,1,1440.00
2020,9,16,409,2,1100.00
2020,9,16,409,3,1540.00
2020,9,16,409,4,1240.00
2020,9,16,409,5,1320.00
2020,9,16,409,6,1840.00
2020,8,7,410,1,2.87
2020,8,7,410,2,22.00
2020,8,7,410,3,105.00
2020,8,7,410,4,2.70
2020,8,7,410,5,1.92
2020,8,7,410,6,
2020,8,7,411,1,78.00
2020,8,7,411,2,22.00
2020,8,7,411,3,43.00
2020,8,7,411,4,11.00
2020,8,7,411,5,1.17
2020,8,7,411,6,122.00
2020,9,16,412,1,125.00
2020,9,16,412,2,82.00
2020,9,16,412,3,60.00
2020,9,16,412,4,137.00
2020,9,16,412,5,119.00
2020,9,16,412,6,146.00
2020,8,7,413,1,1.11
2020,8,7,413,2,31.00
2020,8,7,413,3,11.00
2020,8,7,413,4,12.00
2020,8,7,413,5,17.00
2020,8,7,413,6,
2020,8,7,414,1,0.95
2020,8,7,414,2,6.71
2020,8,7,414,3,4.72
2020,8,7,414,4,4.10
2020,8,7,414,5,1.07
2020,8,7,414,6,1.13
2020,8,7,415,1,22.00
2020,8,7,415,2,27.00
2020,8,7,415,3,26.00
2020,8,7,415,4,8.00
2020,8,7,415,5,
2020,8,7,415,6,
2020,8,7,416,1,1.00
2020,8,7,416,2,12.37
2020,8,7,416,3,1.00
2020,8,7,416,4,1.00
2020,8,7,416,5,117.00
2020,8,7,416,6,
2020,9,16,417,1,2120.00
2020,9,16,417,2,1880.00
2020,9,16,417,3,1900.00
2020,9,16,417,4,1600.00
2020,9,16,417,5,1540.00
2020,9,16,417,6,1980.00
2020,9,16,418,1,1160.00
2020,9,16,418,2,880.00
2020,9,16,418,3,540.00
2020,9,16,418,4,940.00
2020,9,16,418,5,1640.00
2020,9,16,418,6,
