Unit,Variety,Treatment,PlantingDate
104,Maverick,250,5/22/2020
105,Maverick,0,5/22/2020
106,Maverick,100,5/22/2020
109,Maverick,150,5/22/2020
110,Maverick,50,5/22/2020
117,Maverick,200,5/22/2020
202,Maverick,150,5/22/2020
205,Maverick,200,5/22/2020
207,Maverick,100,5/22/2020
208,Maverick,50,5/22/2020
210,Maverick,0,5/22/2020
213,Maverick,250,5/22/2020
304,Maverick,150,5/22/2020
307,Maverick,200,5/22/2020
311,Maverick,50,5/22/2020
312,Maverick,0,5/22/2020
313,Maverick,250,5/22/2020
316,Maverick,100,5/22/2020
403,Maverick,200,5/22/2020
407,Maverick,250,5/22/2020
408,Maverick,150,5/22/2020
410,Maverick,100,5/22/2020
414,Maverick,0,5/22/2020
416,Maverick,50,5/22/2020
102,NBS,200,5/22/2020
107,NBS,100,5/22/2020
111,NBS,0,5/22/2020
112,NBS,250,5/22/2020
113,NBS,50,5/22/2020
116,NBS,150,5/22/2020
204,NBS,150,5/22/2020
206,NBS,0,5/22/2020
209,NBS,50,5/22/2020
212,NBS,100,5/22/2020
217,NBS,250,5/22/2020
218,NBS,200,5/22/2020
301,NBS,0,5/22/2020
303,NBS,150,5/22/2020
308,NBS,200,5/22/2020
310,NBS,100,5/22/2020
314,NBS,250,5/22/2020
317,NBS,50,5/22/2020
404,NBS,0,5/22/2020
405,NBS,200,5/22/2020
406,NBS,250,5/22/2020
411,NBS,150,5/22/2020
413,NBS,50,5/22/2020
415,NBS,100,5/22/2020
101,Wife,50,5/26/2020
103,Wife,150,5/26/2020
108,Wife,200,5/26/2020
114,Wife,250,5/26/2020
115,Wife,100,5/26/2020
118,Wife,0,5/26/2020
201,Wife,150,5/26/2020
203,Wife,50,5/26/2020
211,Wife,200,5/26/2020
214,Wife,100,5/26/2020
215,Wife,0,5/26/2020
216,Wife,250,5/26/2020
302,Wife,200,5/26/2020
305,Wife,0,5/26/2020
306,Wife,100,5/26/2020
309,Wife,150,5/26/2020
315,Wife,250,5/26/2020
318,Wife,50,5/26/2020
401,Wife,50,5/26/2020
402,Wife,100,5/26/2020
409,Wife,150,5/26/2020
412,Wife,0,5/26/2020
417,Wife,200,5/26/2020
418,Wife,250,5/26/2020
